RULE,HEAD,BODY,SUPPORT,CONFIDENCE
"['G10_Down', 'G1_Up']",{'G10_Down'},{'G1_Up'},0.5,0.7142857142857143
"['G10_Down', 'G1_Up']",{'G1_Up'},{'G10_Down'},0.5,0.7246376811594203
"['G10_Down', 'G28_Down']",{'G10_Down'},{'G28_Down'},0.51,0.7285714285714285
"['G10_Down', 'G28_Down']",{'G28_Down'},{'G10_Down'},0.51,0.7183098591549296
"['G10_Down', 'G38_Down']",{'G10_Down'},{'G38_Down'},0.53,0.7571428571428571
"['G10_Down', 'G38_Down']",{'G38_Down'},{'G10_Down'},0.53,0.726027397260274
"['G10_Down', 'G47_Up']",{'G10_Down'},{'G47_Up'},0.51,0.7285714285714285
"['G10_Down', 'G47_Up']",{'G47_Up'},{'G10_Down'},0.51,0.7727272727272727
"['G10_Down', 'G59_Up']",{'G10_Down'},{'G59_Up'},0.5,0.7142857142857143
"['G10_Down', 'G70_Down']",{'G10_Down'},{'G70_Down'},0.5,0.7142857142857143
"['G10_Down', 'G70_Down']",{'G70_Down'},{'G10_Down'},0.5,0.7575757575757576
"['G10_Down', 'G88_Down']",{'G10_Down'},{'G88_Down'},0.52,0.7428571428571429
"['G10_Down', 'G88_Down']",{'G88_Down'},{'G10_Down'},0.52,0.7323943661971831
"['G10_Down', 'G94_Up']",{'G10_Down'},{'G94_Up'},0.5,0.7142857142857143
"['G10_Down', 'G94_Up']",{'G94_Up'},{'G10_Down'},0.5,0.8064516129032258
"['G13_Down', 'G28_Down']",{'G13_Down'},{'G28_Down'},0.5,0.7352941176470589
"['G13_Down', 'G28_Down']",{'G28_Down'},{'G13_Down'},0.5,0.704225352112676
"['G13_Down', 'G59_Up']",{'G13_Down'},{'G59_Up'},0.54,0.7941176470588235
"['G13_Down', 'G59_Up']",{'G59_Up'},{'G13_Down'},0.54,0.7105263157894737
"['G13_Down', 'G6_Up']",{'G13_Down'},{'G6_Up'},0.5,0.7352941176470589
"['G13_Down', 'G6_Up']",{'G6_Up'},{'G13_Down'},0.5,0.7575757575757576
"['G13_Down', 'G72_Up']",{'G13_Down'},{'G72_Up'},0.53,0.7794117647058824
"['G13_Down', 'G72_Up']",{'G72_Up'},{'G13_Down'},0.53,0.7162162162162162
"['G13_Down', 'G82_Down']",{'G13_Down'},{'G82_Down'},0.51,0.75
"['G13_Down', 'G82_Down']",{'G82_Down'},{'G13_Down'},0.51,0.75
"['G1_Up', 'G38_Down']",{'G1_Up'},{'G38_Down'},0.54,0.782608695652174
"['G1_Up', 'G38_Down']",{'G38_Down'},{'G1_Up'},0.54,0.7397260273972602
"['G1_Up', 'G54_Up']",{'G1_Up'},{'G54_Up'},0.5,0.7246376811594203
"['G1_Up', 'G54_Up']",{'G54_Up'},{'G1_Up'},0.5,0.746268656716418
"['G1_Up', 'G59_Up']",{'G1_Up'},{'G59_Up'},0.53,0.7681159420289855
"['G1_Up', 'G67_Up']",{'G1_Up'},{'G67_Up'},0.5,0.7246376811594203
"['G1_Up', 'G67_Up']",{'G67_Up'},{'G1_Up'},0.5,0.8064516129032258
"['G1_Up', 'G70_Down']",{'G1_Up'},{'G70_Down'},0.5,0.7246376811594203
"['G1_Up', 'G70_Down']",{'G70_Down'},{'G1_Up'},0.5,0.7575757575757576
"['G1_Up', 'G72_Up']",{'G1_Up'},{'G72_Up'},0.52,0.7536231884057971
"['G1_Up', 'G72_Up']",{'G72_Up'},{'G1_Up'},0.52,0.7027027027027027
"['G24_Down', 'G54_Up']",{'G24_Down'},{'G54_Up'},0.5,0.7936507936507936
"['G24_Down', 'G54_Up']",{'G54_Up'},{'G24_Down'},0.5,0.746268656716418
"['G24_Down', 'G88_Down']",{'G24_Down'},{'G88_Down'},0.5,0.7936507936507936
"['G24_Down', 'G88_Down']",{'G88_Down'},{'G24_Down'},0.5,0.704225352112676
"['G28_Down', 'G2_Down']",{'G28_Down'},{'G2_Down'},0.5,0.704225352112676
"['G28_Down', 'G2_Down']",{'G2_Down'},{'G28_Down'},0.5,0.7575757575757576
"['G28_Down', 'G32_Down']",{'G28_Down'},{'G32_Down'},0.5,0.704225352112676
"['G28_Down', 'G32_Down']",{'G32_Down'},{'G28_Down'},0.5,0.7352941176470589
"['G28_Down', 'G38_Down']",{'G28_Down'},{'G38_Down'},0.55,0.7746478873239436
"['G28_Down', 'G38_Down']",{'G38_Down'},{'G28_Down'},0.55,0.7534246575342466
"['G28_Down', 'G41_Down']",{'G28_Down'},{'G41_Down'},0.51,0.7183098591549296
"['G28_Down', 'G41_Down']",{'G41_Down'},{'G28_Down'},0.51,0.796875
"['G28_Down', 'G47_Up']",{'G28_Down'},{'G47_Up'},0.51,0.7183098591549296
"['G28_Down', 'G47_Up']",{'G47_Up'},{'G28_Down'},0.51,0.7727272727272727
"['G28_Down', 'G52_Down']",{'G28_Down'},{'G52_Down'},0.52,0.7323943661971831
"['G28_Down', 'G52_Down']",{'G52_Down'},{'G28_Down'},0.52,0.8
"['G28_Down', 'G59_Up']",{'G28_Down'},{'G59_Up'},0.51,0.7183098591549296
"['G28_Down', 'G6_Up']",{'G28_Down'},{'G6_Up'},0.5,0.704225352112676
"['G28_Down', 'G6_Up']",{'G6_Up'},{'G28_Down'},0.5,0.7575757575757576
"['G28_Down', 'G87_Up']",{'G28_Down'},{'G87_Up'},0.52,0.7323943661971831
"['G28_Down', 'G87_Up']",{'G87_Up'},{'G28_Down'},0.52,0.7761194029850746
"['G28_Down', 'G88_Down']",{'G28_Down'},{'G88_Down'},0.52,0.7323943661971831
"['G28_Down', 'G88_Down']",{'G88_Down'},{'G28_Down'},0.52,0.7323943661971831
"['G2_Down', 'G38_Down']",{'G2_Down'},{'G38_Down'},0.5,0.7575757575757576
"['G32_Down', 'G38_Down']",{'G32_Down'},{'G38_Down'},0.53,0.7794117647058824
"['G32_Down', 'G38_Down']",{'G38_Down'},{'G32_Down'},0.53,0.726027397260274
"['G32_Down', 'G59_Up']",{'G32_Down'},{'G59_Up'},0.52,0.7647058823529411
"['G32_Down', 'G6_Up']",{'G32_Down'},{'G6_Up'},0.5,0.7352941176470589
"['G32_Down', 'G6_Up']",{'G6_Up'},{'G32_Down'},0.5,0.7575757575757576
"['G32_Down', 'G72_Up']",{'G32_Down'},{'G72_Up'},0.5,0.7352941176470589
"['G38_Down', 'G41_Down']",{'G41_Down'},{'G38_Down'},0.5,0.78125
"['G38_Down', 'G47_Up']",{'G38_Down'},{'G47_Up'},0.54,0.7397260273972602
"['G38_Down', 'G47_Up']",{'G47_Up'},{'G38_Down'},0.54,0.8181818181818182
"['G38_Down', 'G52_Down']",{'G38_Down'},{'G52_Down'},0.55,0.7534246575342466
"['G38_Down', 'G52_Down']",{'G52_Down'},{'G38_Down'},0.55,0.8461538461538461
"['G38_Down', 'G59_Up']",{'G38_Down'},{'G59_Up'},0.53,0.726027397260274
"['G38_Down', 'G65_Down']",{'G65_Down'},{'G38_Down'},0.5,0.819672131147541
"['G38_Down', 'G67_Up']",{'G67_Up'},{'G38_Down'},0.51,0.8225806451612904
"['G38_Down', 'G6_Up']",{'G6_Up'},{'G38_Down'},0.5,0.7575757575757576
"['G38_Down', 'G70_Down']",{'G38_Down'},{'G70_Down'},0.54,0.7397260273972602
"['G38_Down', 'G70_Down']",{'G70_Down'},{'G38_Down'},0.54,0.8181818181818182
"['G38_Down', 'G88_Down']",{'G88_Down'},{'G38_Down'},0.5,0.704225352112676
"['G38_Down', 'G91_Up']",{'G38_Down'},{'G91_Up'},0.53,0.726027397260274
"['G38_Down', 'G91_Up']",{'G91_Up'},{'G38_Down'},0.53,0.8153846153846154
"['G38_Down', 'G94_Up']",{'G94_Up'},{'G38_Down'},0.51,0.8225806451612904
"['G41_Down', 'G88_Down']",{'G41_Down'},{'G88_Down'},0.52,0.8125
"['G41_Down', 'G88_Down']",{'G88_Down'},{'G41_Down'},0.52,0.7323943661971831
"['G54_Up', 'G88_Down']",{'G54_Up'},{'G88_Down'},0.52,0.7761194029850746
"['G54_Up', 'G88_Down']",{'G88_Down'},{'G54_Up'},0.52,0.7323943661971831
"['G59_Up', 'G6_Up']",{'G6_Up'},{'G59_Up'},0.51,0.7727272727272727
"['G59_Up', 'G72_Up']",{'G59_Up'},{'G72_Up'},0.62,0.8157894736842105
"['G59_Up', 'G72_Up']",{'G72_Up'},{'G59_Up'},0.62,0.8378378378378378
"['G59_Up', 'G82_Down']",{'G59_Up'},{'G82_Down'},0.57,0.75
"['G59_Up', 'G82_Down']",{'G82_Down'},{'G59_Up'},0.57,0.8382352941176471
"['G59_Up', 'G87_Up']",{'G87_Up'},{'G59_Up'},0.51,0.7611940298507462
"['G59_Up', 'G88_Down']",{'G59_Up'},{'G88_Down'},0.55,0.7236842105263158
"['G59_Up', 'G88_Down']",{'G88_Down'},{'G59_Up'},0.55,0.7746478873239436
"['G59_Up', 'G96_Down']",{'G59_Up'},{'G96_Down'},0.61,0.8026315789473685
"['G59_Up', 'G96_Down']",{'G96_Down'},{'G59_Up'},0.61,0.8591549295774648
"['G72_Up', 'G82_Down']",{'G72_Up'},{'G82_Down'},0.58,0.7837837837837838
"['G72_Up', 'G82_Down']",{'G82_Down'},{'G72_Up'},0.58,0.8529411764705882
"['G72_Up', 'G96_Down']",{'G72_Up'},{'G96_Down'},0.59,0.7972972972972973
"['G72_Up', 'G96_Down']",{'G96_Down'},{'G72_Up'},0.59,0.8309859154929577
"['G72_Up', 'G97_Down']",{'G97_Down'},{'G72_Up'},0.51,0.8360655737704918
"['G82_Down', 'G96_Down']",{'G82_Down'},{'G96_Down'},0.52,0.7647058823529411
"['G82_Down', 'G96_Down']",{'G96_Down'},{'G82_Down'},0.52,0.7323943661971831
"['G82_Down', 'G97_Down']",{'G82_Down'},{'G97_Down'},0.51,0.75
"['G82_Down', 'G97_Down']",{'G97_Down'},{'G82_Down'},0.51,0.8360655737704918
"['G87_Up', 'G88_Down']",{'G87_Up'},{'G88_Down'},0.54,0.8059701492537313
"['G87_Up', 'G88_Down']",{'G88_Down'},{'G87_Up'},0.54,0.7605633802816901
"['G88_Down', 'G8_Up']",{'G88_Down'},{'G8_Up'},0.51,0.7183098591549296
"['G88_Down', 'G8_Up']",{'G8_Up'},{'G88_Down'},0.51,0.7727272727272727
"['G59_Up', 'G72_Up', 'G96_Down']","{'G72_Up', 'G59_Up'}",{'G96_Down'},0.51,0.8225806451612904
"['G59_Up', 'G72_Up', 'G96_Down']","{'G96_Down', 'G59_Up'}",{'G72_Up'},0.51,0.8360655737704918
"['G59_Up', 'G72_Up', 'G96_Down']","{'G96_Down', 'G72_Up'}",{'G59_Up'},0.51,0.864406779661017
"['G59_Up', 'G72_Up', 'G96_Down']",{'G96_Down'},"{'G72_Up', 'G59_Up'}",0.51,0.7183098591549296
"['G59_Up', 'G72_Up', 'G82_Down']","{'G72_Up', 'G59_Up'}",{'G82_Down'},0.52,0.8387096774193549
"['G59_Up', 'G72_Up', 'G82_Down']","{'G82_Down', 'G59_Up'}",{'G72_Up'},0.52,0.9122807017543859
"['G59_Up', 'G72_Up', 'G82_Down']","{'G82_Down', 'G72_Up'}",{'G59_Up'},0.52,0.896551724137931
"['G59_Up', 'G72_Up', 'G82_Down']",{'G72_Up'},"{'G82_Down', 'G59_Up'}",0.52,0.7027027027027027
"['G59_Up', 'G72_Up', 'G82_Down']",{'G82_Down'},"{'G72_Up', 'G59_Up'}",0.52,0.7647058823529411
